entity,type,entity_type,description/context,ask,for_tagging,for_graph,for_glossary,treatment_category,indications,short_name,market_name,moa,mutations/specifics of indications,drugs_involved,therapy1,therapy2,therapy3,NCT#
TAP ,string,General terms/acronyms,Tumor Area Positivity (TAP) score of programmed death-ligand 1 (PD-L1),,,,1,,,,,,,,,,,
PD-1,string,General terms/acronyms,Programmed Death,,,,1,,,,,,,,,,,
PD-L1,string,General terms/acronyms,Programmed Death-Ligand 1,,,,1,,,,,,,,,,,
LAG-3,string,General terms/acronyms,Lymphocyte activation gene 3 (LAG-3) is an inhibitory receptor that is highly expressed by exhausted T cells,,,,1,,,,,,,,,,,
CPS ,string,General terms/acronyms,Combined positive score (CPS) to evaluate PDL1 expression,,,,1,,,,,,,,,,,
TPS,string,General terms/acronyms,Tumor proportion score (TPS) to evaluate PDL1 expression,,,,1,,,,,,,,,,,
CRT,string,General terms/acronyms,Chemoradiotherapy or Chemotherapy and Radiotherapy,,,,1,,,,,,,,,,,
FLOT,string,General terms/acronyms,"flurouracil, oxaliplatin and docetaxel chemotherapy regimen",,,,1,,,,,,,,,,,
CAPOX,string,General terms/acronyms,Capecitabine and oxaliplatin chemotherapy regimen,,,,1,,,,,,,,,,,
FOLFOX,string,General terms/acronyms,"flurouracil, oxaliplatin and leucovorin chemotherapy regimen",,,,1,,,,,,,,,,,
PF,string,General terms/acronyms,Cisplatin and flurouracil chemotherapy regimen,,,,1,,,,,,,,,,,
TP ,string,General terms/acronyms,Cisplatin and docetaxel chemotherapy regimen,,,,1,,,,,,,,,,,
HPK1,string,General terms/acronyms,Hematopoietic progenitor kinase 1,,,,1,,,,,,,,,,,
ADC,string,General terms/acronyms,Antibody Drug Conjugate,,,,1,,,,,,,,,,,
panKRAS,string,General terms/acronyms,pan KRAS inhibitor,,,,1,,,,,,,,,,,
CEA,string,General terms/acronyms,Carcinoembryonic antigen ,,,,1,,,,,,,,,,,
TC,string,General terms/acronyms,Tumor Cell Score to evaluate PDL1 expression,,,,1,,,,,,,,,,,
formulation,string,General terms/acronyms,"refers to the composition of a drug product, including the active drug and other ingredients, and its physical form",,,,1,,,,,,,,,,,
MRD,string,General terms/acronyms,It refers to minimal residual disease,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
